geohash6,geohash8,plant,latin_name,family,optimal_temperature,optimal_humidity,optimal_soil_ph,water_requirements_mm_per_week,sunlight_requirements_hours_per_day
u8k10n,u8k10nw0,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw1,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw2,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw3,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw4,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw5,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw6,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw7,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw8,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nw9,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwb,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwc,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwd,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwe,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwf,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwg,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwh,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwj,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwk,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwm,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwn,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwp,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwq,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwr,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nws,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwt,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwu,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwv,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nww,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwx,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwy,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10nwz,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10ny0,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10ny1,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10ny2,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10ny3,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10ny4,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
u8k10n,u8k10ny5,Grapevine,Vitis vinifera,Vitaceae,"(15, 22)","(50, 70)","(5.5, 6.5)",20,6
