plant_type,geohash6,geohash8,latin_name,family,optimal_temperature,optimal_humidity,optimal_soil_ph,water_requirements_mm_per_week,sunlight_requirements_hours_per_day
Chickpeas,u8k10n,u8k10nz0,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz1,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz2,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz3,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz4,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz5,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz6,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz7,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz8,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nz9,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzb,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzc,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzd,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nze,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzf,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzg,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzh,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzj,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzk,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzm,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzn,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzp,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzq,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzr,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzs,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzt,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzu,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzv,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzw,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzx,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzy,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nzz,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nx0,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nx1,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nx3,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nx4,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nx5,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nx6,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nx7,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nx9,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxc,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxd,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxe,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxf,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxg,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxh,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxj,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxk,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxm,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxn,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxp,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxq,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxr,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxs,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxt,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
Chickpeas,u8k10n,u8k10nxu,Cicer arietinum,Fabaceae,"(20, 25)","(30, 50)","(6.0, 7.0)",25,8
